Policies,estimate
Pool 3,0.38864000768386336
Pool 3,0.32625506958185463
Pool 3,0.23919810821449344
Pool 3,0.36594305450206727
Pool 3,0.34162203537307495
Pool 3,0.29901681528218654
Pool 3,0.35177476871020685
Pool 3,0.32583309774882674
Pool 3,0.33898520638320023
Pool 3,0.25594842778467186
Pool 3,0.3081414714609168
Pool 3,0.34748575244374147
Pool 3,0.3028176584156036
Pool 3,0.3018902556972591
Pool 3,0.29403594869656313
Pool 3,0.24891027259694157
Pool 3,0.2836493301107952
Pool 3,0.2975719486471201
Pool 3,0.30623183186119934
Pool 3,0.2748594045361069
Pool 3,0.25156437765191264
Pool 3,0.32522965400532844
Pool 3,0.31429692571621637
Pool 3,0.29380945120819807
Pool 3,0.305190809103708
Pool 3,0.32856107439497134
Pool 3,0.3631628915471087
Pool 3,0.29069312978925194
Pool 3,0.358641975011808
Pool 3,0.33078824878534985
Pool 3,0.2787533184845275
Pool 3,0.34225493323172307
Pool 3,0.26044366398292035
Pool 3,0.27685900085714965
Pool 3,0.387157685096979
Pool 3,0.3584434072730429
Pool 3,0.25385410116972
Pool 3,0.38408630356017437
Pool 3,0.310216677086765
Pool 3,0.262498739893271
Pool 3,0.24548684168388976
Pool 3,0.3080960290953162
Pool 3,0.3779670518120163
Pool 3,0.24005184292709814
Pool 3,0.3872967116876207
Pool 3,0.31400810523714423
Pool 3,0.3096581627859811
Pool 3,0.33929073112497976
Pool 3,0.35596327844397785
Pool 3,0.3441832079442763
Pool 3,0.3226775030604864
Pool 3,0.2307604539052417
Pool 3,0.3253068210452165
Pool 3,0.2941553251622824
Pool 3,0.24649411602011023
Pool 3,0.36022448556594006
Pool 3,0.3523061846825523
Pool 3,0.3253142281800322
Pool 3,0.31456023427173513
Pool 3,0.2497069353668504
Pool 3,0.2593754326331914
Pool 3,0.2936817023774051
Pool 3,0.2769056221302345
Pool 3,0.30208335841223205
Pool 3,0.28461669852134963
Pool 3,0.3209128527420769
Pool 3,0.2658065842010767
Pool 3,0.26890753974014264
Pool 3,0.3391489770138286
Pool 3,0.36091636581198844
Pool 3,0.23227618727381147
Pool 3,0.2945235069231142
Pool 3,0.3380516100207959
Pool 3,0.293940726306681
Pool 3,0.3718951437174757
Pool 3,0.2708833730209939
Pool 3,0.2932918368575719
Pool 3,0.29718686031122693
Pool 3,0.39353921346014464
Pool 3,0.2090151800991309
Pool 3,0.26091716155804084
Pool 3,0.3081732149948002
Pool 3,0.2918714539423171
Pool 3,0.3562864609702937
Pool 3,0.33384250707831764
Pool 3,0.28228790999056724
Pool 3,0.28212626931623996
Pool 3,0.314623001781529
Pool 3,0.19894321860070702
Pool 3,0.3004108238579831
Pool 3,0.266214472591435
Pool 3,0.3291180212974404
Pool 3,0.2608768288215566
Pool 3,0.2762335511382259
Pool 3,0.358382618522388
Pool 3,0.3782135746426105
Pool 3,0.31004168364301093
Pool 3,0.22691736034808388
Pool 3,0.25013414886261043
Pool 3,0.31533210069004186
Pool 3,0.361350617955336
Pool 3,0.2923688914645809
Pool 3,0.3083417068285936
Pool 3,0.25942642693407364
Pool 3,0.24555606729986137
Pool 3,0.3603948291737094
Pool 3,0.26297244719513846
Pool 3,0.24084238334608793
Pool 3,0.30879848457995784
Pool 3,0.24276766883906925
Pool 3,0.23019201224867686
Pool 3,0.2644029418657284
Pool 4,1.3891590571776653
Pool 4,1.5303330789774
Pool 4,1.6527389386045286
Pool 4,1.45057025245899
Pool 4,1.5172744338955844
Pool 4,1.5580702040292178
Pool 4,1.617714051107543
Pool 4,1.5299763947664156
Pool 4,1.5511311835804382
Pool 4,1.539562519651217
Pool 4,1.5184066909622824
Pool 4,1.327600431912848
Pool 4,1.4380342813643061
Pool 4,1.5094428918403353
Pool 4,1.4497006170498596
Pool 4,1.5862223531286517
Pool 4,1.4846163901091487
Pool 4,1.5360865510211543
Pool 4,1.5347911337249578
Pool 4,1.4292477158522918
Pool 4,1.537004399186476
Pool 4,1.5217172489263509
Pool 4,1.4362773025165456
Pool 4,1.576381792972604
Pool 4,1.2923863507038151
Pool 4,1.4338594527430177
Pool 4,1.5350706697413394
Pool 4,1.5679050662475014
Pool 4,1.4863746481216455
Pool 4,1.5498436545008676
Pool 4,1.537685308131902
Pool 4,1.4912712937045534
Pool 4,1.5391509436969029
Pool 4,1.4925189656472049
Pool 4,1.525953754310763
Pool 4,1.5838151789996986
Pool 4,1.5232049389618234
Pool 4,1.462030723684881
Pool 4,1.4512214567402704
Pool 4,1.4833703309425148
Pool 4,1.472994815965265
Pool 4,1.5322805748686805
Pool 4,1.531105211979516
Pool 4,1.505762208150174
Pool 4,1.4704005203689734
Pool 4,1.5889500515608566
Pool 4,1.471712539705228
Pool 4,1.518745763212231
Pool 4,1.5699343727707467
Pool 4,1.620541478432672
Pool 4,1.4839957833741817
Pool 4,1.5492263841839513
Pool 4,1.562207258253058
Pool 4,1.5754106406385664
Pool 4,1.4621606511297773
Pool 4,1.5751908881969616
Pool 4,1.5162807554693405
Pool 4,1.518159525756014
Pool 4,1.428664759945897
Pool 4,1.406193117840724
Pool 4,1.5221591902259455
Pool 4,1.4665573926937445
