"","c(5, 1, 1)","c(2, 4, 1)Xc(3, 4, 1)Xc(4, 4, 1)Xc(5, 4, 1)Xc(2, 5, 1)Xc(3, 5, 1)Xc(4, 5, 1)Xc(5, 5, 1)","c(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)Xc(1, 2, 3)Xc(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 4, 2)Xc(1, 5, 2)Xc(1, 4, 3)Xc(1, 5, 3)","c(1, 2, 2)Xc(1, 3, 2)Xc(1, 4, 2)Xc(1, 5, 2)","c(1, 2, 3)","c(1, 3, 3)Xc(1, 4, 3)Xc(1, 5, 3)","support_detection_rate"
"106",1.11377876988998,0.93788952734823,-1.83508923189271,NA,NA,NA,NA,NA,0.96
"107",-1.27592715122197,0.33205969906066,1.51096365361751,NA,NA,NA,NA,NA,0.96
"108",-0.697750565050236,0.589230881263984,0.126046668219306,NA,NA,NA,NA,NA,0.96
"109",0.417529152798054,-0.26309674120795,-0.469883132230573,NA,NA,NA,NA,NA,0.96
"110",-0.704605361065429,-0.336466807892811,-0.243736387037815,NA,NA,NA,NA,NA,0.96
"111",-0.373567703151477,-0.786789194143491,0.398391699112186,NA,NA,NA,NA,NA,0.96
"112",0.334815748012815,0.317704409203074,-0.906871649280399,NA,NA,NA,NA,NA,0.96
"113",-1.69694515929862,-0.507411073534121,0.0151552064116878,NA,NA,NA,NA,NA,0.96
"114",2.2014801399013,-1.29067931084273,-0.412881505664796,NA,NA,NA,NA,NA,0.96
"115",0.144449281480311,1.99940670545398,0.287371085812707,NA,NA,NA,NA,NA,0.96
"116",-0.672588287804675,1.38497936962717,0.0642372469742922,NA,NA,NA,NA,NA,0.96
"117",1.14027439635148,-0.119608138960042,0.784727994908163,NA,NA,NA,NA,NA,0.96
"118",-0.466054110881688,0.70912752851931,-0.711613377866517,NA,NA,NA,NA,NA,0.96
"119",-0.558747336670062,-1.95883685865556,-0.313536971794288,NA,NA,NA,NA,NA,0.96
"120",-0.537230406850701,-1.20531008134978,-0.599606134721849,NA,NA,NA,NA,NA,0.96
"121",0.537151670293553,-0.580033495472451,-1.45571188469768,NA,NA,NA,NA,NA,0.96
"122",0.63438550560525,0.254476336226939,0.599688368142822,NA,NA,NA,NA,NA,0.96
"123",-1.59988180830138,0.263289761193005,0.00512047211140918,NA,NA,NA,NA,NA,0.96
"124",0.140974353032525,-0.8757484543086,-2.36132419510346,NA,NA,NA,NA,NA,0.96
"125",0.280417456577232,0.656007461492162,0.595469473954985,NA,NA,NA,NA,NA,0.96
"126",-0.587194118552788,0.341710375830816,0.657720286471543,NA,NA,NA,NA,NA,0.96
"127",-0.220263029352006,-0.108188957928106,0.57126399057665,NA,NA,NA,NA,NA,0.96
"128",-0.394118755251603,0.159934917990019,-0.402362583163904,NA,NA,NA,NA,NA,0.96
"129",-0.056125551023359,-0.39239771828427,0.711465655755401,NA,NA,NA,NA,NA,0.96
"130",0.0946620584821456,-0.0323106071230532,1.04851810256188,NA,NA,NA,NA,NA,0.96
"131",1.72250194243398,0.961337541588196,0.0194445929722008,NA,NA,NA,NA,NA,0.96
"132",0.410676352227016,-0.241803180458045,-1.05337583474,NA,NA,NA,NA,NA,0.96
"133",-1.30130999159571,0.563165381742988,0.846130027046272,NA,NA,NA,NA,NA,0.96
"134",0.22680748405882,0.170691775343357,2.29457744046283,NA,NA,NA,NA,NA,0.96
"135",-1.95938580449086,-2.1127292573334,-0.771751611321273,NA,NA,NA,NA,NA,0.96
"136",-2.75280414137173,0.320422450734709,0.280153475218004,NA,NA,NA,NA,NA,0.96
"137",-0.286797177943253,0.9326057530417,0.799305120531788,NA,NA,NA,NA,NA,0.96
"138",-1.17059377740793,-0.262441133267169,1.37271377332964,NA,NA,NA,NA,NA,0.96
"139",-0.953577317566888,1.81596569574561,1.85830378400785,NA,NA,NA,NA,NA,0.96
"140",0.178130695496914,-0.439038160797021,-0.624238159490582,NA,NA,NA,NA,NA,0.96
"141",-0.323080918601179,-0.53081534284409,NA,0.576962477375491,NA,NA,NA,NA,0.96
"142",0.947177961956764,-0.029628712742518,0.0068161195644989,NA,NA,NA,NA,NA,0.96
"143",-0.375931996123138,-0.364946800920373,0.684006658050101,NA,NA,NA,NA,NA,0.96
"144",0.340933412992606,0.820459414208322,-1.0681536818889,NA,NA,NA,NA,NA,0.96
"145",0.312112783269387,-0.947400132888286,0.0951553445628631,NA,NA,NA,NA,NA,0.96
"146",-0.0248805694106854,0.473015463430298,-1.4427963276638,NA,NA,NA,NA,NA,0.96
"147",-0.488217937896784,-0.377660284064304,-1.62248121256205,NA,NA,NA,NA,NA,0.96
"148",-1.29657130748937,-0.563283675484539,0.152886927169353,NA,NA,NA,NA,NA,0.96
"149",0.0850307855313842,0.97540694670911,NA,NA,NA,1.43707457093333,-2.11887958043918,1.11316829324973,0.96
"150",-0.0795695627720916,-1.07053884966069,-0.648151215051728,NA,NA,NA,NA,NA,0.96
"151",0.80814812860764,1.85578428179161,-0.517782497877179,NA,NA,NA,NA,NA,0.96
"152",0.864954694402238,0.419648574297299,1.92030223736911,NA,NA,NA,NA,NA,0.96
"153",-1.27657336524445,0.8451464106194,1.00138133282567,NA,NA,NA,NA,NA,0.96
"154",0.290647090809954,0.065004035367878,-0.285819754724522,NA,NA,NA,NA,NA,0.96
"155",0.743973044228506,0.403673256875756,1.45145589301325,NA,NA,NA,NA,NA,0.96
"156",1.59160949078587,0.620101288009509,-0.181485495504758,NA,NA,NA,NA,NA,0.96
"157",2.38784015714714,0.87181693284331,1.46804936774286,NA,NA,NA,NA,NA,0.96
"158",0.517837716247492,0.659768104397075,-0.0870363152552256,NA,NA,NA,NA,NA,0.96
"159",-0.387160048440904,-0.490292224929011,0.756944629276642,NA,NA,NA,NA,NA,0.96
"160",0.50757286835765,-0.481966167253007,-0.475218198232387,NA,NA,NA,NA,NA,0.96
"161",0.504355088829884,-1.36747060591483,-1.1535444148868,NA,NA,NA,NA,NA,0.96
"162",-0.759127024263625,-0.441976221828779,0.00765040449535202,NA,NA,NA,NA,NA,0.96
"163",-0.373942730205228,1.58374363807779,-0.375923358151453,NA,NA,NA,NA,NA,0.96
"164",0.837660203316391,0.0445099181988321,1.00388631168758,NA,NA,NA,NA,NA,0.96
"165",-0.0478465891386417,-0.985347843729388,0.835533623858981,NA,NA,NA,NA,NA,0.96
"166",-0.80043287645669,-0.777933001501318,2.069546107636,NA,NA,NA,NA,NA,0.96
"167",1.21131321386492,0.0118966536769473,-1.35735022989717,NA,NA,NA,NA,NA,0.96
