"","Lasso_best","Lasso_hybrid","SP_best","SP_hybrid","Lasso_prct_diff","SP_prct_diff","Lasso_abs_diff","SP_abs_diff","n","sim"
"82",5.30980964840528,5.29895996081417,4.97097269709748,4.97097270841899,0.00204332891563704,-2.27752513857844e-09,0.010849687591115,-1.13215152808266e-08,9000,2
"83",5.40326530007319,5.38877666223527,5.04766860756208,5.04766854633853,0.00268145964213924,1.21290738565573e-08,0.0144886378379177,6.12235453445464e-08,9000,3
"84",5.25096281782205,4.62008248433155,4.93554843424311,4.93554859472186,0.120145648594054,-3.25148775442232e-08,0.630880333490492,-1.60478752952997e-07,9000,4
"85",5.06004659452598,4.41719230220574,4.83260108703679,4.8326010854662,0.127045132947132,3.24998867501415e-10,0.642854292320238,1.57058988037306e-09,9000,5
"86",5.13949672590912,4.83197280575328,4.94396416467019,4.94396416511492,0.0598354151303484,-8.99531490896708e-11,0.307523920155838,-4.44725145598568e-10,9000,6
"87",5.41002742748225,5.40529988850895,4.94291967437437,4.94291966559246,0.000873847505704267,1.77666511963086e-09,0.00472753897329703,8.78191297459807e-09,9000,7
"88",5.24009949506317,4.9410121227881,5.04764056658823,5.04764049632887,0.0570766590513876,1.39192478507075e-08,0.299087372275069,7.02593601076273e-08,9000,8
"89",5.10572573706987,4.85376850883736,4.94910752565379,4.94910752572137,0.0493479754314231,-1.36542127109144e-11,0.251957228232508,-6.75761668844643e-11,9000,9
"90",5.24586390786264,5.17010200479873,5.00220301204292,5.00220301318982,0.0144422166481205,-2.29277984247136e-10,0.0757619030639081,-1.14689502339616e-09,9000,10
"91",5.47396273145192,5.45518472327496,5.10235611582295,5.10235624183025,0.00343042309533078,-2.46959049156079e-08,0.0187780081769526,-1.26007301481934e-07,10000,1
"92",5.42542625162261,5.33949298027422,5.13964462052154,5.13964461960341,0.0158389898531361,1.78637126983485e-10,0.0859332713483889,9.18131348726092e-10,10000,2
"93",5.02729510893451,4.28064879332703,4.96887554059014,4.96887550600003,0.148518497408386,6.96135593197983e-09,0.74664631560748,3.45901112197566e-08,10000,3
"94",5.1586285664462,4.98806185334917,5.00311044532403,5.00311029700175,0.0330643524533767,2.96460124323481e-08,0.170566713097035,1.48322274462487e-07,10000,4
"95",5.08661059686237,4.42511017127305,4.97533650589014,4.97533650678598,0.130047388726269,-1.80055417954992e-10,0.661500425589321,-8.9583629403478e-10,10000,5
"96",5.03330329408062,4.37280953441593,4.93121064346809,4.93121068463935,0.131224708918585,-8.34911704782884e-09,0.660493759664684,-4.11712548498144e-08,10000,6
"97",5.18785893040518,5.00350568336733,4.97973808749699,4.97973808708467,0.035535516580334,8.27988131097426e-11,0.184353247037847,4.1231640324213e-10,10000,7
"98",5.13612947754874,4.97299770402691,4.92475714411463,4.92475714379946,0.0317616162588815,6.39978085662394e-11,0.163131773521832,3.15173664944268e-10,10000,8
"99",5.2531384441902,5.17830739856521,4.94330847753835,4.9433083780085,0.0142450168446929,2.01342589191377e-08,0.0748310456249932,9.95298528039257e-08,10000,9
"100",5.25959731364569,4.83608377081149,4.95940689831747,4.95940689344777,0.0805220471414076,9.81912346177344e-10,0.423513542834199,4.86970286317501e-09,10000,10
