Policies,estimate,Pooling
"c(1, 1, 2)",-0.06078793472895935,Pruned
"c(1, 1, 2)",-0.10747016870815214,Pruned
"c(1, 1, 2)",0.33891476396622344,Pruned
"c(1, 1, 2)",0.1581843682708312,Pruned
"c(1, 1, 2)",0.006848288398211566,Pruned
"c(1, 1, 2)",-0.19613726074557145,Pruned
"c(1, 1, 2)",0.001293669354973998,Pruned
"c(1, 1, 2)",-0.1802829851901553,Pruned
"c(1, 1, 2)",0.25012518603622075,Pruned
"c(1, 1, 2)",0.05831345694739091,Pruned
"c(1, 1, 2)",-0.01595060833916772,Pruned
"c(1, 1, 2)",0.24436838617454276,Pruned
"c(1, 1, 2)",0.05649215028408491,Pruned
"c(1, 1, 2)",0.18156903461015297,Pruned
"c(1, 1, 2)",0.05868728280705959,Pruned
"c(1, 1, 2)",-0.18180106520830214,Pruned
"c(1, 1, 2)",0.2760183506471018,Pruned
"c(1, 1, 2)",0.15097425070413226,Pruned
"c(1, 1, 2)",0.1547222491964618,Pruned
"c(1, 1, 2)",0.11118487759221644,Pruned
"c(1, 1, 2)",0.07603792370932863,Pruned
"c(1, 1, 2)",-0.31682529828623596,Pruned
"c(1, 1, 2)",0.2133469295730523,Pruned
"c(1, 1, 2)",0.08237627060967978,Pruned
"c(1, 1, 2)",0.08949088296101042,Pruned
"c(1, 1, 2)",0.021320222915326544,Pruned
"c(1, 1, 2)",0.23069701868178222,Pruned
"c(1, 1, 2)",0.1892629962405869,Pruned
"c(1, 1, 2)",0.11250679445973748,Pruned
"c(1, 1, 2)",-0.02130261094293609,Pruned
"c(1, 1, 2)",-0.1298014719118283,Pruned
"c(1, 1, 2)",-0.18862001161453468,Pruned
"c(1, 1, 2)",0.13755258135554224,Pruned
"c(1, 1, 2)",-0.1267391064034152,Pruned
"c(1, 1, 2)",0.059229428185919364,Pruned
"c(1, 1, 2)",0.21719650992476808,Pruned
"c(1, 1, 2)",0.09998499228528016,Pruned
"c(1, 1, 2)",0.08167516986759629,Pruned
"c(1, 1, 2)",0.0798202989534405,Pruned
"c(1, 1, 2)",0.05981220186772482,Pruned
"c(1, 1, 2)",-0.030337824132870617,Pruned
"c(1, 1, 2)",-0.024410059937012684,Pruned
"c(1, 1, 2)",-0.1633243169685004,Pruned
"c(1, 1, 2)",0.4034820759294924,Pruned
"c(1, 1, 2)",0.22823557821836685,Pruned
"c(1, 1, 2)",0.17606947429156591,Pruned
"c(1, 1, 2)",-0.25326105937737464,Pruned
"c(1, 1, 2)",0.28629384866317453,Pruned
"c(1, 1, 2)",0.0724611340552628,Pruned
"c(1, 1, 2)",-0.015779880652028556,Pruned
"c(1, 1, 2)",0.1631378492969367,Pruned
"c(1, 1, 2)",-0.09799663836198066,Pruned
"c(1, 1, 2)",-0.020358391779701897,Pruned
"c(1, 1, 2)",0.14953780782965218,Pruned
"c(1, 1, 2)",0.2930159834049345,Pruned
"c(1, 1, 2)",0.11091691372512255,Pruned
"c(1, 1, 2)",-0.15807008610601553,Pruned
"c(1, 1, 2)",0.10877878368174551,Pruned
"c(1, 1, 2)",0.07679438898666754,Pruned
"c(1, 1, 2)",0.3496424040682119,Pruned
"c(1, 1, 2)",-0.06716540651370191,Pruned
"c(1, 1, 2)",0.13183700325999023,Pruned
"c(1, 1, 2)",0.4626826979098682,Pruned
"c(1, 1, 2)",0.10324010960585817,Pruned
"c(1, 1, 2)",-0.22315363761567847,Pruned
"c(1, 1, 2)",0.3662646311138195,Pruned
